first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Lucky,Avinger,4,RB,Sr.,1,6'1″,210
Jaxon,Feller,4,WR,Jr.,2,5'9″,175
Tyrone,Marshall Jr.,4,WR,Gr.,2,6'1″,205
Andrew,Trandahl,4,RB,So.,5,5'8″,185
Amir,Bankhead,4,RB,Sr.,6,5'10″,190
Gavin,Frye,4,QB,Fr.,6,5'10″,191
Jaxon,Young,4,WR,Jr.,7,6'1″,180
Kalani,Washington,4,WR,Sr.,9,5'9″,185
Sofian,Massoud,4,QB,Jr.,10,6'2″,205
Mujeeb,Rufai,4,WR,Sr.,11,6'2″,225
Jordan,Polo Soloman,4,QB,Sr.,12,6'0″,205
Malaki,Sik,4,WR,Fr.,13,6'3″,200
Mustapha,Yekini,4,QB,Fr.,14,6'2″,195
Jeremiah,Moore,4,RB,So.,16,5'9″,202
Quin,Hafner,4,QB,Fr.,17,6'2″,190
Brayden,Iverson,4,WR,So.,19,6'0″,195
Kevin,Powell,4,K,Sr.,23,6'0″,185
Nick,Waale,4,RB,Fr.,30,5'8″,188
Carl,Henry,4,RB,So.,31,5'10″,207
Carter,Seime,4,QB,Fr.,32,5'10″,180
Chris,Taylor,4,RB,Jr.,33,5'11″,228
Braylon,Rach,4,RB,Fr.,34,5'10″,220
Xavier,Breckenridge,4,RB,Fr.,41,5'11″,215
Christian,Jangula,4,K,Fr.,45,6'0″,190
Lane,Caraballo,4,TE,So.,47,6'3″,220
Trevor,Pope,4,WR,Jr.,80,6'3″,186
Keyton,McGregor,4,WR,Fr.,81,6'2″,170
Ramsey,Morrell,4,TE,Fr.,82,6'2″,245
Luke,Bodine,4,TE,Jr.,83,6'3″,235
Ethan,Heinrich,4,TE,So.,84,6'3″,220
Sean,Saise,4,WR,So.,85,6'3″,180
Max,Larson,4,TE,Fr.,86,6'5″,250
Keiji,Suggs,4,WR,Fr.,87,6'2″,165
Karsyn,Jablonski,4,WR,So.,88,6'1″,175
Sam,Schreiber,4,TE,Fr.,94,6'3″,235
Jack,Henninger,4,K,Fr.,98,6'5″,200
